danceability,energy,speechiness,acousticness,instrumentalness,liveness,genre
0.434,0.126,0.0363,0.967,0.755,0.11,Jazz
0.406,0.165,0.0344,0.913,0.922,0.116,Jazz
0.51,0.189,0.0341,0.972,0.928,0.1,Jazz
0.481,0.188,0.04,0.979,0.935,0.104,Jazz
0.458,0.19,0.0362,0.955,0.947,0.156,Jazz
0.496,0.125,0.0362,0.978,0.917,0.0948,Jazz
0.361,0.185,0.0357,0.92,0.955,0.119,Jazz
0.415,0.148,0.0355,0.988,0.958,0.129,Jazz
0.255,0.0745,0.0395,0.863,0.128,0.133,Jazz
0.421,0.0971,0.0335,0.969,0.631,0.121,Jazz
0.402,0.205,0.038,0.939,0.894,0.372,Jazz
0.348,0.159,0.0339,0.978,0.973,0.112,Jazz
0.434,0.195,0.0278,0.97,0.848,0.36,Jazz
0.454,0.144,0.0396,0.966,0.895,0.247,Jazz
0.485,0.138,0.0313,0.866,0.541,0.0885,Jazz
0.64,0.188,0.0432,0.962,0.918,0.148,Jazz
0.499,0.225,0.0306,0.937,0.896,0.118,Jazz
0.565,0.239,0.0418,0.96,0.894,0.149,Jazz
0.487,0.163,0.0324,0.962,0.891,0.0962,Jazz
0.45,0.209,0.0393,0.965,0.604,0.112,Jazz
0.653,0.153,0.0519,0.979,0.814,0.135,Jazz
0.46,0.162,0.0365,0.971,0.896,0.127,Jazz
0.548,0.188,0.0334,0.964,0.849,0.116,Jazz
0.508,0.126,0.0422,0.947,0.902,0.366,Jazz
0.477,0.142,0.0365,0.955,0.671,0.104,Jazz
0.22,0.188,0.036,0.958,0.945,0.106,Jazz
0.382,0.184,0.0323,0.888,0.551,0.117,Jazz
0.454,0.142,0.0381,0.956,0.502,0.0969,Jazz
0.446,0.175,0.0317,0.964,0.849,0.0953,Jazz
0.582,0.123,0.0364,0.928,0.589,0.121,Jazz
0.504,0.261,0.0303,0.966,0.625,0.101,Jazz
0.381,0.0957,0.0324,0.968,0.891,0.119,Jazz
0.514,0.138,0.036,0.971,0.937,0.123,Jazz
0.492,0.206,0.0305,0.97,0.816,0.0959,Jazz
0.468,0.0508,0.0329,0.814,0.0413,0.113,Jazz
0.629,0.152,0.04,0.967,0.904,0.109,Jazz
0.466,0.124,0.0337,0.948,0.882,0.107,Jazz
0.538,0.14,0.0393,0.937,0.893,0.324,Jazz
0.388,0.132,0.0369,0.972,0.921,0.12,Jazz
0.547,0.125,0.0362,0.968,0.923,0.109,Jazz
0.449,0.0875,0.0344,0.972,0.818,0.113,Jazz
0.642,0.203,0.0457,0.971,0.911,0.117,Jazz
0.58,0.143,0.0414,0.965,0.89,0.123,Jazz
0.562,0.165,0.0439,0.976,0.945,0.101,Jazz
0.439,0.119,0.0324,0.898,0.938,0.148,Jazz
0.375,0.0798,0.0328,0.986,0.532,0.105,Jazz
0.466,0.0718,0.0336,0.922,0.916,0.11,Jazz
0.506,0.0717,0.036,0.95,0.233,0.11,Jazz
0.506,0.122,0.0358,0.941,0.586,0.112,Jazz
0.585,0.115,0.0436,0.949,0.494,0.118,Jazz
0.418,0.199,0.0535,0.97,0.606,0.103,Jazz
0.362,0.17,0.0338,0.936,0.879,0.109,Jazz
0.493,0.146,0.0409,0.95,0.898,0.131,Jazz
0.575,0.284,0.037,0.97,0.52,0.109,Jazz
0.495,0.17,0.0403,0.952,0.697,0.12,Jazz
0.445,0.165,0.0333,0.943,0.315,0.134,Jazz
0.322,0.14,0.0457,0.986,0.874,0.099,Jazz
0.454,0.17,0.0322,0.981,0.9,0.116,Jazz
0.439,0.116,0.0418,0.923,0.349,0.109,Jazz
0.433,0.155,0.0516,0.973,0.936,0.161,Jazz
0.314,0.146,0.033,0.972,0.926,0.153,Jazz
0.558,0.157,0.0335,0.924,0.852,0.0921,Jazz
0.504,0.166,0.0441,0.986,0.0473,0.108,Jazz
0.347,0.244,0.0334,0.957,0.932,0.101,Jazz
0.475,0.138,0.0424,0.965,0.884,0.0971,Jazz
0.585,0.148,0.0426,0.944,0.924,0.106,Jazz
0.522,0.205,0.0568,0.971,0.89,0.0959,Jazz
0.445,0.142,0.0404,0.973,0.488,0.0919,Jazz
0.523,0.0942,0.0412,0.962,0.225,0.133,Jazz
0.615,0.166,0.0378,0.967,0.911,0.259,Jazz
0.403,0.235,0.0307,0.952,0.838,0.154,Jazz
0.356,0.083,0.0397,0.968,0.922,0.108,Jazz
0.625,0.143,0.036,0.944,0.908,0.203,Jazz
0.536,0.247,0.0348,0.981,0.804,0.109,Jazz
0.422,0.196,0.0371,0.979,0.931,0.101,Jazz
0.461,0.084,0.029,0.972,0.742,0.335,Jazz
0.515,0.166,0.036,0.965,0.882,0.118,Jazz
0.335,0.171,0.0381,0.975,0.879,0.112,Jazz
0.451,0.203,0.0307,0.941,0.931,0.148,Jazz
0.52,0.107,0.0383,0.968,0.868,0.0972,Jazz
0.316,0.0513,0.0337,0.803,0.0802,0.114,Jazz
0.437,0.0826,0.0367,0.878,0.799,0.121,Jazz
0.437,0.147,0.0434,0.9,0.927,0.0796,Jazz
0.46,0.215,0.0371,0.932,0.828,0.11,Jazz
0.309,0.068,0.0359,0.777,0.526,0.0845,Jazz
0.328,0.202,0.0346,0.968,0.872,0.0794,Jazz
0.445,0.198,0.038,0.877,0.823,0.251,Jazz
0.57,0.17,0.0353,0.846,0.227,0.102,Jazz
0.501,0.171,0.035,0.961,0.897,0.094,Jazz
0.513,0.146,0.0311,0.98,0.849,0.0991,Jazz
0.595,0.15,0.0412,0.963,0.839,0.109,Jazz
0.296,0.164,0.0328,0.989,0.946,0.129,Jazz
0.481,0.161,0.0295,0.95,0.946,0.117,Jazz
0.513,0.259,0.0315,0.918,0.807,0.107,Jazz
0.429,0.0908,0.0334,0.781,0.236,0.115,Jazz
0.443,0.0742,0.0345,0.547,0.00368,0.074,Jazz
0.375,0.174,0.0377,0.9,0.914,0.117,Jazz
0.444,0.162,0.0332,0.911,0.452,0.124,Jazz
0.466,0.164,0.0308,0.971,0.78,0.114,Jazz
0.483,0.192,0.0368,0.904,0.839,0.0763,Jazz
