danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,genre
0.271,0.165,5,1,0.0351,0.729,1.6e-06,0.118,77.082,4,Jazz
0.746,0.243,4,0,0.123,0.829,1.02e-06,0.0905,118.578,4,Jazz
0.349,0.182,5,1,0.031,0.92,0.0152,0.143,136.094,3,Jazz
0.454,0.26,8,0,0.0401,0.539,0.00078,0.0675,174.322,5,Jazz
0.262,0.356,0,0,0.0303,0.613,0.0,0.175,174.176,3,Jazz
0.653,0.149,10,0,0.0392,0.867,0.000983,0.0986,130.359,4,Jazz
0.52,0.0406,0,1,0.0635,0.877,0.000364,0.0845,70.138,4,Jazz
0.462,0.15,8,1,0.0522,0.984,0.000902,0.105,98.66,3,Jazz
0.443,0.104,0,1,0.101,0.913,0.0,0.191,76.497,4,Jazz
0.387,0.117,0,1,0.0299,0.925,0.000171,0.109,93.575,4,Jazz
0.532,0.0657,0,0,0.0406,0.94,0.00488,0.0946,128.607,4,Jazz
0.464,0.305,3,0,0.0316,0.936,0.0846,0.208,108.229,4,Jazz
0.595,0.306,7,1,0.0345,0.883,0.000386,0.0733,133.63,4,Jazz
0.67,0.365,0,1,0.0564,0.525,0.0,0.0575,119.344,4,Jazz
0.172,0.0696,11,0,0.0339,0.916,0.00199,0.137,167.974,5,Jazz
0.639,0.269,8,1,0.0698,0.982,0.12,0.141,124.866,4,Jazz
0.438,0.00756,0,0,0.0382,0.941,0.00643,0.109,133.32,4,Jazz
0.421,0.0162,2,0,0.0388,0.808,0.0024,0.0978,110.479,4,Jazz
0.723,0.0811,0,1,0.0631,0.779,0.0,0.509,88.044,4,Jazz
0.52,0.132,0,1,0.0478,0.916,0.00101,0.246,127.355,4,Jazz
0.474,0.0676,9,0,0.0363,0.963,0.00291,0.14,115.713,3,Jazz
0.515,0.583,0,0,0.0284,0.749,0.000294,0.123,116.11,4,Jazz
0.663,0.264,0,1,0.0914,0.706,0.0,0.1,122.482,4,Jazz
0.355,0.0304,1,1,0.0361,0.989,0.0555,0.116,90.495,3,Jazz
0.417,0.42,0,0,0.06,0.186,0.00111,0.185,147.143,4,Jazz
0.532,0.151,0,1,0.0376,0.706,0.00136,0.116,136.759,4,Jazz
0.501,0.0454,0,1,0.0388,0.938,3.76e-05,0.2,99.783,4,Jazz
0.463,0.654,8,1,0.0659,0.824,0.917,0.372,175.204,4,Jazz
0.504,0.0644,2,0,0.0408,0.972,4.36e-06,0.174,106.994,5,Jazz
0.685,0.472,9,0,0.0298,0.785,0.284,0.224,80.487,4,Jazz
0.488,0.0527,5,1,0.0478,0.971,0.911,0.0882,49.689,4,Jazz
0.588,0.0387,0,0,0.06,0.978,0.823,0.116,83.4,4,Jazz
0.761,0.103,10,1,0.0416,0.944,0.0,0.127,114.044,4,Jazz
0.591,0.0252,4,0,0.0465,0.988,1.23e-05,0.0995,69.382,4,Jazz
0.442,0.033,10,1,0.041,0.922,0.000171,0.151,103.34,3,Jazz
0.425,0.0429,1,1,0.0408,0.951,0.0184,0.148,96.097,4,Jazz
0.395,0.121,9,1,0.0327,0.935,0.397,0.697,114.521,4,Jazz
0.572,0.398,0,1,0.0376,0.841,4.59e-06,0.128,86.135,4,Jazz
0.372,0.187,0,0,0.0323,0.942,0.139,0.161,70.334,4,Jazz
0.558,0.231,5,0,0.0812,0.805,0.0,0.142,73.103,4,Jazz
0.421,0.08,7,1,0.04,0.903,0.859,0.135,122.044,3,Jazz
0.427,0.114,2,0,0.0509,0.843,0.863,0.0966,60.484,4,Jazz
0.626,0.152,5,0,0.0405,0.934,6.05e-05,0.12,82.174,4,Jazz
0.488,0.124,3,1,0.0404,0.963,0.333,0.246,66.105,4,Jazz
0.499,0.0539,11,1,0.0396,0.972,0.0287,0.0839,72.981,4,Jazz
0.673,0.377,0,1,0.0697,0.586,0.0,0.332,88.973,4,Jazz
0.478,0.0294,0,1,0.0453,0.993,0.948,0.105,124.308,3,Jazz
0.339,0.342,7,0,0.0313,0.962,0.319,0.162,132.599,3,Jazz
0.492,0.0671,10,0,0.0399,0.958,0.000968,0.109,124.908,4,Jazz
0.203,0.0895,2,0,0.0404,0.971,0.0213,0.108,173.451,1,Jazz
0.573,0.275,8,1,0.0534,0.84,0.0,0.196,140.9,4,Jazz
0.224,0.214,2,0,0.0348,0.976,0.00094,0.367,83.906,3,Jazz
0.716,0.133,0,1,0.0421,0.879,0.0,0.0966,62.14,3,Jazz
0.539,0.0678,0,1,0.0468,0.967,0.168,0.114,124.105,4,Jazz
0.742,0.671,5,0,0.0407,0.794,0.00441,0.122,127.359,4,Jazz
0.612,0.526,0,0,0.0272,0.727,0.0331,0.183,129.341,4,Jazz
0.535,0.258,7,0,0.033,0.768,8.95e-05,0.115,110.953,4,Jazz
0.71,0.318,0,0,0.0432,0.867,0.00038,0.169,126.05,4,Jazz
0.612,0.493,5,0,0.0467,0.804,0.266,0.202,126.358,4,Jazz
0.561,0.346,0,0,0.0409,0.873,0.399,0.104,93.689,4,Jazz
0.542,0.32,8,1,0.0387,0.907,0.649,0.0609,116.648,4,Jazz
0.522,0.379,4,0,0.0286,0.635,0.925,0.114,133.698,3,Jazz
0.47,0.144,10,1,0.0365,0.912,0.000118,0.0965,84.787,4,Jazz
0.652,0.356,5,0,0.0419,0.546,0.000103,0.132,148.822,4,Jazz
0.551,0.119,0,0,0.0435,0.924,0.00264,0.119,70.129,4,Jazz
0.418,0.295,6,1,0.0303,0.913,0.896,0.248,109.621,4,Jazz
0.564,0.0822,8,1,0.0453,0.962,0.583,0.11,127.422,4,Jazz
0.525,0.222,10,0,0.0373,0.836,0.0799,0.051,156.364,4,Jazz
0.277,0.242,4,1,0.0342,0.694,0.464,0.113,175.384,3,Jazz
0.494,0.182,10,0,0.0443,0.79,0.00036,0.129,112.689,4,Jazz
0.483,0.364,9,0,0.0265,0.564,0.299,0.0542,98.445,4,Jazz
0.356,0.0937,8,0,0.0353,0.957,0.096,0.209,86.669,3,Jazz
0.47,0.308,5,1,0.0369,0.82,0.039,0.115,115.459,4,Jazz
0.578,0.351,11,0,0.101,0.813,0.0,0.123,122.712,4,Jazz
0.544,0.425,10,1,0.0346,0.719,0.0186,0.964,84.443,4,Jazz
0.292,0.012,10,0,0.0393,0.905,0.164,0.0813,170.106,3,Jazz
0.553,0.546,9,0,0.0341,0.439,0.000557,0.167,118.214,4,Jazz
0.341,0.0446,10,1,0.0348,0.909,0.00785,0.157,174.365,3,Jazz
0.497,0.086,7,1,0.0443,0.974,0.00106,0.124,129.332,4,Jazz
0.575,0.187,0,0,0.0512,0.927,0.877,0.166,107.469,4,Jazz
0.621,0.197,7,1,0.0573,0.99,0.878,0.152,120.194,4,Jazz
0.659,0.113,10,0,0.0569,0.976,0.88,0.179,95.063,4,Jazz
0.55,0.179,5,1,0.039,0.965,0.368,0.0746,129.536,4,Jazz
0.438,0.106,0,1,0.0353,0.947,0.000103,0.147,118.785,4,Jazz
0.417,0.0644,4,0,0.0359,0.971,0.000134,0.126,113.713,4,Jazz
0.54,0.0671,1,1,0.0397,0.966,0.779,0.101,84.192,4,Jazz
0.608,0.387,11,0,0.0411,0.86,0.662,0.187,91.489,4,Jazz
0.223,0.105,11,0,0.0364,0.744,0.0,0.0889,170.469,4,Jazz
0.355,0.152,5,0,0.0401,0.924,0.0771,0.126,65.215,4,Jazz
0.476,0.0794,9,0,0.0365,0.955,0.872,0.112,103.181,4,Jazz
0.336,0.0619,5,0,0.0363,0.985,0.891,0.11,60.705,4,Jazz
0.803,0.335,8,1,0.0451,0.579,0.0128,0.0849,132.682,4,Jazz
0.517,0.273,10,0,0.0627,0.866,0.774,0.979,63.423,4,Jazz
0.599,0.444,5,0,0.044,0.82,0.000474,0.122,142.81,4,Jazz
0.593,0.103,10,1,0.081,0.986,0.6,0.12,66.283,4,Jazz
0.567,0.124,0,1,0.0562,0.792,0.0,0.106,79.37,4,Jazz
0.147,0.215,3,0,0.0346,0.965,0.000928,0.184,171.46,3,Jazz
0.671,0.352,0,1,0.0556,0.532,0.000141,0.11,120.235,4,Jazz
0.184,0.543,11,0,0.0391,0.016,0.0,0.105,98.4,3,Jazz
0.635,0.0278,2,0,0.0406,0.537,0.872,0.213,103.016,4,Jazz
