danceability,energy,speechiness,acousticness,instrumentalness,liveness,genre
0.755,0.87,0.0936,0.00988,0.0,0.0917,K-pop
0.703,0.709,0.0433,0.00379,5.43e-05,0.333,K-pop
0.706,0.843,0.0582,0.27,0.0,0.132,K-pop
0.726,0.903,0.0357,0.055,0.000225,0.158,K-pop
0.714,0.886,0.0461,0.058,0.0,0.112,K-pop
0.714,0.812,0.0351,0.00189,1.96e-06,0.229,K-pop
0.706,0.756,0.0845,0.0392,0.0,0.18,K-pop
0.819,0.844,0.038,0.00767,0.00834,0.056,K-pop
0.722,0.833,0.094,0.0556,0.0,0.195,K-pop
0.709,0.917,0.189,0.0409,0.0,0.0839,K-pop
0.814,0.641,0.111,0.027,0.0,0.0993,K-pop
0.733,0.855,0.118,0.00481,0.0,0.123,K-pop
0.815,0.834,0.0475,0.0327,0.000268,0.27,K-pop
0.689,0.678,0.119,0.0702,0.0,0.0889,K-pop
0.757,0.898,0.0667,0.0138,0.0,0.0703,K-pop
0.804,0.771,0.0433,0.357,3.07e-06,0.108,K-pop
0.762,0.77,0.0639,0.155,0.0,0.0861,K-pop
0.615,0.871,0.0516,0.0427,0.0,0.254,K-pop
0.818,0.69,0.0454,0.00327,0.0,0.186,K-pop
0.879,0.784,0.081,0.0759,0.0,0.125,K-pop
0.806,0.707,0.0307,0.331,0.0,0.294,K-pop
0.539,0.846,0.0354,0.00631,1.71e-06,0.13,K-pop
0.764,0.802,0.0351,0.102,0.0,0.189,K-pop
0.749,0.85,0.0468,0.0319,4.81e-05,0.0678,K-pop
0.718,0.794,0.0703,0.0806,0.0,0.0679,K-pop
0.65,0.964,0.0348,0.0538,0.0,0.245,K-pop
0.641,0.489,0.11,0.0509,0.0,0.071,K-pop
0.771,0.88,0.0857,0.162,1.41e-06,0.167,K-pop
0.591,0.92,0.185,0.0524,0.0,0.0467,K-pop
0.593,0.945,0.126,0.00174,0.0,0.923,K-pop
0.787,0.543,0.037,0.0233,0.0,0.0861,K-pop
0.594,0.81,0.0531,0.128,0.0,0.0324,K-pop
0.72,0.828,0.0612,0.0343,0.0,0.0747,K-pop
0.716,0.779,0.0805,0.178,1.16e-06,0.167,K-pop
0.746,0.726,0.0394,0.0706,3.43e-06,0.278,K-pop
0.691,0.859,0.112,0.0302,0.0,0.165,K-pop
0.663,0.857,0.0581,0.0524,0.0,0.591,K-pop
0.751,0.912,0.0391,0.0247,0.0,0.0778,K-pop
0.515,0.858,0.19,0.0435,1.8e-05,0.0796,K-pop
0.692,0.835,0.0628,0.0517,0.0,0.134,K-pop
0.709,0.809,0.0541,0.312,0.0,0.0899,K-pop
0.695,0.896,0.0847,0.179,0.0,0.0626,K-pop
0.6,0.678,0.0372,0.0311,0.0,0.338,K-pop
0.724,0.818,0.168,0.0201,0.0,0.0358,K-pop
0.758,0.858,0.0464,0.43,0.0,0.201,K-pop
0.654,0.707,0.0664,0.00559,0.0,0.0873,K-pop
0.643,0.912,0.139,0.0986,0.0,0.196,K-pop
0.477,0.85,0.0911,0.00108,0.0,0.0675,K-pop
0.742,0.847,0.0485,0.00117,8.49e-06,0.142,K-pop
0.683,0.875,0.0549,0.0115,0.0,0.084,K-pop
