danceability,energy,speechiness,acousticness,instrumentalness,liveness,genre
0.548,0.816,0.0465,0.122,0.0,0.335,Pop
0.582,0.899,0.0895,0.0104,0.0402,0.112,Pop
0.511,0.532,0.056,0.169,0.0,0.311,Pop
0.775,0.613,0.0542,0.109,2.33e-05,0.134,Pop
0.774,0.753,0.0517,0.152,0.0,0.0371,Pop
0.742,0.713,0.0303,0.0205,0.0,0.059,Pop
0.53,0.422,0.0342,0.407,0.0,0.107,Pop
0.748,0.524,0.0338,0.414,0.0,0.111,Pop
0.825,0.652,0.0802,0.581,0.0,0.0931,Pop
0.76,0.703,0.054,0.103,0.0,0.0913,Pop
0.724,0.804,0.0448,0.124,0.0,0.204,Pop
0.778,0.547,0.0489,0.346,0.000302,0.132,Pop
0.444,0.819,0.341,0.106,0.0,0.107,Pop
0.432,0.725,0.0431,0.00273,0.0,0.208,Pop
0.728,0.616,0.0645,0.378,0.0,0.105,Pop
0.748,0.788,0.0334,0.0591,0.0,0.0863,Pop
0.699,0.713,0.0594,0.04,3.11e-06,0.294,Pop
0.696,0.921,0.0363,0.00314,5.24e-05,0.0842,Pop
0.647,0.844,0.0457,0.0137,0.000658,0.102,Pop
0.672,0.593,0.0304,0.0223,0.0,0.214,Pop
0.866,0.813,0.0554,0.38,0.0,0.0779,Pop
0.651,0.695,0.0487,0.23,0.0,0.144,Pop
0.628,0.698,0.105,0.0472,0.00143,0.0907,Pop
0.743,0.752,0.0414,0.0188,0.0,0.287,Pop
0.717,0.653,0.0658,0.229,0.0,0.101,Pop
0.845,0.561,0.0778,0.211,3.49e-06,0.0383,Pop
0.691,0.795,0.0355,0.000812,1.02e-06,0.156,Pop
0.504,0.785,0.104,0.0738,0.0,0.239,Pop
0.704,0.934,0.042,0.0748,0.0,0.0795,Pop
0.793,0.793,0.083,0.0123,0.0,0.0951,Pop
0.737,0.802,0.0878,0.468,0.0,0.0931,Pop
0.759,0.548,0.029,0.0392,0.0,0.0828,Pop
0.664,0.705,0.0382,0.0654,0.0,0.118,Pop
0.684,0.71,0.0779,0.0132,0.0,0.444,Pop
0.638,0.832,0.049,0.141,0.0,0.113,Pop
0.741,0.52,0.0656,0.447,1.97e-06,0.222,Pop
0.576,0.782,0.0296,0.00778,0.0,0.285,Pop
0.59,0.797,0.0614,0.132,0.0,0.0846,Pop
0.717,0.73,0.0568,0.383,0.0,0.398,Pop
0.568,0.656,0.0433,0.0211,1.37e-05,0.213,Pop
0.667,0.922,0.0353,0.000354,0.0,0.0867,Pop
0.73,0.729,0.0884,0.167,1.39e-06,0.349,Pop
0.616,0.789,0.0377,0.053,0.0,0.142,Pop
0.626,0.799,0.046,0.000358,0.00155,0.36,Pop
0.685,0.743,0.0367,0.0386,0.0,0.273,Pop
0.697,0.683,0.117,0.0372,0.0,0.137,Pop
0.592,0.8,0.215,0.0561,2.01e-06,0.0775,Pop
0.856,0.632,0.074,0.193,0.0,0.0688,Pop
0.602,0.658,0.0558,0.0233,6e-05,0.237,Pop
0.6,0.663,0.0477,0.225,0.0,0.119,Pop
