danceability,energy,speechiness,acousticness,instrumentalness,liveness,genre
0.606,0.544,0.0421,0.0285,4.88e-06,0.152,R&B
0.672,0.82,0.0459,0.0368,0.000188,0.184,R&B
0.684,0.607,0.1,0.0267,0.000307,0.191,R&B
0.665,0.695,0.0532,0.347,0.0,0.106,R&B
0.699,0.388,0.0531,0.588,1.98e-06,0.0658,R&B
0.66,0.646,0.0426,0.0312,5.06e-06,0.033,R&B
0.699,0.699,0.0737,0.358,0.0,0.0912,R&B
0.657,0.629,0.0782,0.194,0.0,0.254,R&B
0.726,0.7,0.0998,0.0717,0.0,0.262,R&B
0.81,0.538,0.0356,0.528,0.0,0.0951,R&B
0.703,0.469,0.0415,0.177,0.0,0.726,R&B
0.733,0.521,0.0457,0.107,0.0,0.0692,R&B
0.684,0.455,0.0307,0.215,1.08e-06,0.263,R&B
0.688,0.404,0.0818,0.377,0.0,0.0813,R&B
0.618,0.552,0.0981,0.176,0.0,0.252,R&B
0.568,0.732,0.103,0.179,4.92e-06,0.401,R&B
0.649,0.536,0.132,0.492,0.0,0.184,R&B
0.693,0.533,0.0402,0.107,0.0,0.0695,R&B
0.673,0.683,0.115,0.522,0.0,0.235,R&B
0.687,0.583,0.0639,0.225,0.0,0.105,R&B
0.733,0.395,0.0366,0.279,2.37e-06,0.468,R&B
0.685,0.38,0.112,0.373,0.0,0.0371,R&B
0.543,0.449,0.0463,0.345,0.0,0.157,R&B
0.845,0.467,0.138,0.0586,0.0,0.0694,R&B
0.71,0.797,0.0582,0.408,0.0,0.16,R&B
0.412,0.77,0.18,0.462,1.5e-06,0.0485,R&B
0.731,0.355,0.0603,0.00864,5.14e-05,0.0579,R&B
0.64,0.427,0.0241,0.0664,0.0,0.0579,R&B
0.725,0.487,0.0368,0.26,1.09e-05,0.431,R&B
0.751,0.568,0.0872,0.136,0.0,0.0288,R&B
0.643,0.486,0.0278,0.337,3.86e-06,0.702,R&B
0.772,0.688,0.0405,0.0548,9.79e-05,0.0725,R&B
0.701,0.692,0.115,0.699,0.0,0.177,R&B
0.662,0.507,0.118,0.257,0.0,0.0465,R&B
0.705,0.725,0.0506,0.0352,0.0149,0.194,R&B
0.536,0.612,0.272,0.119,0.0,0.209,R&B
0.729,0.434,0.079,0.0473,1.23e-05,0.314,R&B
0.704,0.854,0.183,0.0185,0.0,0.148,R&B
0.688,0.519,0.0283,0.064,0.0,0.1,R&B
0.653,0.453,0.0351,0.307,0.00101,0.113,R&B
0.612,0.579,0.0553,0.285,0.0,0.0556,R&B
0.721,0.836,0.206,0.112,0.0,0.235,R&B
0.646,0.335,0.247,0.626,1.3e-05,0.107,R&B
0.612,0.423,0.0508,0.588,0.0,0.117,R&B
0.714,0.37,0.0321,0.436,0.0,0.0518,R&B
0.729,0.38,0.099,0.0319,5.01e-05,0.119,R&B
0.451,0.586,0.193,0.0665,0.0,0.171,R&B
0.397,0.843,0.0987,0.158,0.0,0.0844,R&B
0.739,0.536,0.0587,0.00368,0.0,0.0968,R&B
0.911,0.551,0.0449,0.132,4.12e-05,0.0863,R&B
