danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,genre
0.617,0.378,9,1,0.0315,0.428,9.16e-05,0.11,141.967,4,R&B
0.767,0.677,11,0,0.184,0.0339,5.51e-06,0.144,146.155,4,R&B
0.684,0.607,11,0,0.1,0.0267,0.000307,0.191,81.001,4,R&B
0.662,0.507,5,1,0.118,0.257,0.0,0.0465,86.412,4,R&B
0.685,0.38,8,1,0.112,0.373,0.0,0.0371,175.562,4,R&B
0.665,0.695,0,1,0.0532,0.347,0.0,0.106,90.119,4,R&B
0.725,0.487,8,0,0.0368,0.26,1.09e-05,0.431,136.086,4,R&B
0.746,0.443,1,0,0.0771,0.282,0.0,0.14,119.311,4,R&B
0.629,0.511,1,1,0.0326,0.114,3.91e-06,0.0588,128.038,4,R&B
0.684,0.455,5,1,0.0307,0.215,1.08e-06,0.263,97.956,4,R&B
0.649,0.536,5,0,0.132,0.492,0.0,0.184,78.935,4,R&B
0.66,0.623,7,0,0.152,0.0851,0.0,0.0841,179.986,4,R&B
0.452,0.574,6,1,0.31,0.246,0.0,0.189,92.791,4,R&B
0.477,0.61,11,0,0.144,0.225,0.0,0.107,79.882,4,R&B
0.66,0.71,1,1,0.0409,0.0106,7.01e-06,0.0736,97.988,4,R&B
0.803,0.454,8,0,0.0294,0.352,0.0,0.0655,99.99,4,R&B
0.615,0.514,11,1,0.0466,0.393,0.0,0.248,175.849,4,R&B
0.664,0.396,5,0,0.0298,0.52,0.0,0.268,102.053,4,R&B
0.555,0.507,11,0,0.167,0.25,0.0,0.283,137.875,4,R&B
0.536,0.612,4,1,0.272,0.119,0.0,0.209,86.768,4,R&B
0.684,0.606,5,0,0.0504,0.17,0.0,0.058,127.901,4,R&B
0.727,0.649,0,1,0.0338,0.661,0.0,0.111,129.992,4,R&B
0.731,0.355,8,1,0.0603,0.00864,5.14e-05,0.0579,175.72,4,R&B
0.637,0.725,5,1,0.0333,0.0702,0.00438,0.203,92.99,4,R&B
0.845,0.467,1,1,0.138,0.0586,0.0,0.0694,138.007,4,R&B
0.643,0.486,4,0,0.0278,0.337,3.86e-06,0.702,138.151,3,R&B
0.854,0.543,8,0,0.0844,0.0402,5.73e-05,0.0419,103.032,4,R&B
0.514,0.506,10,0,0.28,0.402,2.56e-05,0.191,88.044,4,R&B
0.701,0.692,9,0,0.115,0.699,0.0,0.177,90.193,4,R&B
0.643,0.368,11,0,0.033,0.0237,1.35e-06,0.157,125.95,4,R&B
0.705,0.511,6,0,0.202,0.125,1.72e-06,0.153,82.011,4,R&B
0.657,0.629,6,1,0.0782,0.194,0.0,0.254,93.985,4,R&B
0.735,0.301,6,1,0.0312,0.203,0.0,0.125,130.134,4,R&B
0.698,0.533,2,1,0.0437,0.542,0.0,0.333,134.001,4,R&B
0.412,0.77,11,0,0.18,0.462,1.5e-06,0.0485,101.955,3,R&B
0.772,0.688,1,0,0.0405,0.0548,9.79e-05,0.0725,98.0,4,R&B
0.764,0.525,8,1,0.048,0.0296,0.0,0.0993,95.813,4,R&B
0.596,0.661,5,0,0.226,0.31,0.0,0.0847,129.491,5,R&B
0.706,0.727,5,1,0.0317,0.0698,5.31e-06,0.115,92.938,4,R&B
0.7,0.538,1,1,0.045,0.000204,0.0,0.105,136.518,4,R&B
0.593,0.294,1,0,0.0499,0.345,2.03e-05,0.287,113.847,4,R&B
0.83,0.417,8,1,0.0423,0.178,0.0,0.0858,115.985,4,R&B
0.573,0.679,3,0,0.0423,0.247,0.0,0.321,66.215,4,R&B
0.753,0.516,6,1,0.0308,0.191,0.0,0.275,122.019,4,R&B
0.708,0.673,6,1,0.0585,0.499,0.000233,0.103,136.969,4,R&B
0.672,0.52,7,0,0.0407,0.0985,1.28e-06,0.0365,137.213,4,R&B
0.694,0.511,8,1,0.0449,0.274,0.0,0.166,87.014,4,R&B
0.656,0.432,6,0,0.217,0.443,0.0,0.132,97.022,4,R&B
0.726,0.501,1,0,0.154,0.155,0.0,0.0893,128.099,4,R&B
0.663,0.544,2,0,0.0649,0.0979,0.0,0.307,161.577,4,R&B
