danceability,energy,speechiness,acousticness,instrumentalness,liveness,genre
0.908,0.669,0.0738,0.00286,0.0,0.237,Rap
0.897,0.662,0.292,0.0852,0.0,0.534,Rap
0.789,0.858,0.311,0.127,0.0,0.349,Rap
0.896,0.586,0.0559,0.104,0.0,0.79,Rap
0.487,0.729,0.271,0.0538,4.07e-06,0.44,Rap
0.798,0.744,0.136,0.33,0.000106,0.292,Rap
0.529,0.673,0.175,0.000307,2.41e-06,0.093,Rap
0.694,0.759,0.398,0.137,0.0,0.167,Rap
0.745,0.642,0.287,0.0204,0.0,0.0658,Rap
0.495,0.722,0.357,0.0697,0.0,0.113,Rap
0.665,0.91,0.223,0.0394,0.0,0.227,Rap
0.785,0.871,0.265,0.144,0.0,0.309,Rap
0.585,0.52,0.0712,0.124,7.01e-05,0.131,Rap
0.833,0.434,0.431,0.0102,0.0219,0.165,Rap
0.6,0.706,0.361,0.209,0.0,0.125,Rap
0.796,0.766,0.238,0.0742,0.0,0.0827,Rap
0.575,0.927,0.395,0.0383,0.0,0.0623,Rap
0.837,0.636,0.086,0.0395,0.00125,0.342,Rap
0.788,0.497,0.151,0.37,4.5e-06,0.0939,Rap
0.724,0.573,0.0549,0.118,0.0,0.538,Rap
0.597,0.587,0.137,0.0622,0.0,0.214,Rap
0.746,0.69,0.164,0.247,0.0,0.101,Rap
0.869,0.68,0.318,0.0416,1.12e-06,0.0914,Rap
0.727,0.599,0.327,0.317,0.0,0.219,Rap
0.732,0.75,0.231,0.00264,0.0,0.109,Rap
0.752,0.658,0.342,0.0421,0.0,0.0927,Rap
0.716,0.531,0.122,0.0703,0.0,0.224,Rap
0.772,0.413,0.089,0.0361,0.0,0.111,Rap
0.749,0.865,0.0413,0.00536,0.0,0.198,Rap
0.747,0.52,0.0357,0.0977,0.0537,0.142,Rap
0.855,0.87,0.226,0.303,0.0,0.376,Rap
0.891,0.486,0.159,0.0158,3.78e-06,0.0925,Rap
0.78,0.575,0.139,0.106,0.0,0.129,Rap
0.618,0.746,0.352,0.0553,0.0,0.273,Rap
0.645,0.705,0.299,0.000813,0.0,0.128,Rap
0.771,0.654,0.298,0.055,0.0,0.214,Rap
0.69,0.521,0.339,0.324,0.0,0.0534,Rap
0.755,0.875,0.193,0.399,0.0,0.115,Rap
0.749,0.63,0.116,0.0623,0.0,0.353,Rap
0.479,0.549,0.373,0.57,0.0235,0.127,Rap
0.768,0.652,0.307,0.113,0.0,0.107,Rap
0.784,0.517,0.209,0.0249,1.44e-06,0.155,Rap
0.713,0.831,0.15,0.0168,0.0,0.118,Rap
0.786,0.719,0.296,0.252,0.0,0.301,Rap
0.855,0.954,0.264,0.529,0.0,0.205,Rap
0.553,0.852,0.305,0.00713,0.0,0.463,Rap
0.675,0.562,0.0352,0.233,0.0,0.0816,Rap
0.889,0.4,0.26,0.322,1.32e-05,0.331,Rap
0.796,0.824,0.355,0.155,2.47e-05,0.355,Rap
0.899,0.713,0.366,0.255,0.0,0.0708,Rap
