danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,genre
0.637,0.678,0,1,0.266,0.209,0.0,0.156,84.039,4,Rap
0.694,0.759,10,0,0.398,0.137,0.0,0.167,140.055,4,Rap
0.747,0.52,10,0,0.0357,0.0977,0.0537,0.142,92.869,4,Rap
0.834,0.73,8,1,0.222,0.00513,0.0,0.124,155.008,4,Rap
0.924,0.74,8,1,0.0774,0.0827,0.0,0.163,133.974,4,Rap
0.754,0.449,7,1,0.109,0.0332,8.29e-05,0.552,77.169,4,Rap
0.796,0.766,7,1,0.238,0.0742,0.0,0.0827,110.034,4,Rap
0.92,0.675,1,0,0.263,0.307,0.0,0.104,141.967,4,Rap
0.896,0.586,10,0,0.0559,0.104,0.0,0.79,116.971,4,Rap
0.665,0.91,6,0,0.223,0.0394,0.0,0.227,84.099,4,Rap
0.63,0.804,6,1,0.0363,0.215,0.0,0.253,123.146,4,Rap
0.949,0.661,5,0,0.0572,0.0302,0.0,0.0454,104.504,4,Rap
0.569,0.592,4,1,0.39,0.544,0.0,0.79,82.38,4,Rap
0.798,0.744,7,0,0.136,0.33,0.000106,0.292,82.356,4,Rap
0.665,0.816,0,1,0.266,0.448,0.0,0.297,93.37,4,Rap
0.773,0.75,8,0,0.117,0.109,0.0,0.174,123.426,4,Rap
0.849,0.424,5,0,0.324,0.0635,0.0,0.0834,145.887,4,Rap
0.79,0.67,1,1,0.105,0.377,2.32e-06,0.119,139.956,4,Rap
0.897,0.662,1,0,0.292,0.0852,0.0,0.534,112.511,4,Rap
0.656,0.542,7,1,0.323,0.0484,0.0,0.126,166.111,4,Rap
0.926,0.666,11,1,0.244,0.0611,0.0,0.123,127.079,4,Rap
0.801,0.91,2,1,0.225,0.00239,0.000891,0.0737,87.277,4,Rap
0.908,0.669,7,1,0.0738,0.00286,0.0,0.237,112.238,4,Rap
0.8,0.756,7,0,0.0367,0.687,2.06e-06,0.111,113.204,3,Rap
0.749,0.865,3,1,0.0413,0.00536,0.0,0.198,111.914,4,Rap
0.721,0.508,7,1,0.394,0.317,0.0,0.153,159.911,4,Rap
0.655,0.653,1,0,0.273,0.133,0.00813,0.203,82.1,4,Rap
0.667,0.747,1,1,0.189,0.337,0.0,0.115,86.917,4,Rap
0.487,0.729,2,1,0.271,0.0538,4.07e-06,0.44,91.048,4,Rap
0.782,0.435,2,1,0.156,0.333,1.31e-05,0.342,82.996,4,Rap
0.781,0.726,0,1,0.0836,0.0299,0.0,0.093,139.988,4,Rap
0.899,0.713,6,0,0.366,0.255,0.0,0.0708,90.051,4,Rap
0.916,0.844,7,1,0.236,0.0394,0.0,0.0778,95.19,4,Rap
0.516,0.874,9,1,0.186,0.0864,0.0,0.173,169.561,3,Rap
0.759,0.73,0,0,0.0516,0.145,3.06e-06,0.11,115.007,4,Rap
0.597,0.587,7,0,0.137,0.0622,0.0,0.214,140.021,4,Rap
0.883,0.657,8,1,0.305,0.0603,0.0,0.128,124.992,4,Rap
0.745,0.642,7,0,0.287,0.0204,0.0,0.0658,179.974,4,Rap
0.678,0.794,10,0,0.14,0.274,1.68e-06,0.124,87.374,4,Rap
0.609,0.799,9,1,0.24,0.33,0.0,0.108,157.74,4,Rap
0.769,0.818,6,0,0.192,0.263,0.0,0.0787,88.017,4,Rap
0.713,0.526,1,1,0.032,0.00767,0.000148,0.124,131.05,4,Rap
0.883,0.599,11,1,0.248,0.0177,0.0,0.179,142.976,4,Rap
0.794,0.614,5,0,0.0467,0.0964,0.0,0.0788,80.569,4,Rap
0.78,0.768,6,0,0.238,0.0371,2.34e-06,0.518,80.063,4,Rap
0.839,0.81,5,0,0.0568,0.501,0.0,0.117,129.014,4,Rap
0.497,0.489,11,0,0.294,0.0576,9.91e-05,0.122,171.853,4,Rap
0.752,0.658,0,1,0.342,0.0421,0.0,0.0927,151.951,4,Rap
0.78,0.575,9,0,0.273,0.43,0.0,0.143,84.492,4,Rap
0.837,0.364,8,1,0.276,0.149,0.0,0.271,123.984,4,Rap
