danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,genre
0.523,0.482,1,1,0.0447,0.703,0.0,0.179,146.057,4,Rhythm and Blues
0.563,0.542,9,1,0.0962,0.706,3.59e-05,0.355,133.285,4,Rhythm and Blues
0.45,0.352,1,0,0.267,0.649,3.8e-06,0.249,102.679,4,Rhythm and Blues
0.726,0.353,10,1,0.105,0.65,0.002,0.224,137.66,4,Rhythm and Blues
0.661,0.342,9,0,0.043,0.844,0.000128,0.26,146.118,4,Rhythm and Blues
0.439,0.638,3,1,0.0307,0.707,0.0,0.175,69.57,4,Rhythm and Blues
0.874,0.402,4,1,0.0691,0.263,0.00094,0.147,119.99,4,Rhythm and Blues
0.62,0.721,4,0,0.0887,0.0422,0.0075,0.563,169.904,4,Rhythm and Blues
0.75,0.444,4,1,0.0403,0.12,3.69e-06,0.118,111.919,4,Rhythm and Blues
0.847,0.322,1,1,0.0546,0.239,0.0,0.0778,114.557,4,Rhythm and Blues
0.633,0.793,5,0,0.182,0.148,0.0,0.867,109.093,4,Rhythm and Blues
0.769,0.537,7,0,0.0324,0.354,1.92e-05,0.169,88.385,4,Rhythm and Blues
0.478,0.373,5,1,0.0317,0.915,6.36e-06,0.128,120.129,4,Rhythm and Blues
0.65,0.555,6,0,0.0719,0.502,0.0,0.104,103.081,4,Rhythm and Blues
0.781,0.277,8,1,0.326,0.0408,0.000339,0.0754,163.987,4,Rhythm and Blues
0.441,0.338,11,0,0.0346,0.201,0.0415,0.303,150.516,3,Rhythm and Blues
0.746,0.443,1,0,0.0771,0.282,0.0,0.14,119.311,4,Rhythm and Blues
0.637,0.299,7,1,0.0366,0.742,0.0,0.359,83.872,4,Rhythm and Blues
0.679,0.516,0,0,0.0452,0.199,0.0,0.0965,120.074,4,Rhythm and Blues
0.602,0.478,7,0,0.0629,0.723,0.00479,0.108,152.957,4,Rhythm and Blues
0.656,0.479,7,0,0.0348,0.0665,0.00272,0.168,184.374,4,Rhythm and Blues
0.565,0.962,8,1,0.064,0.437,0.0,0.056,148.808,4,Rhythm and Blues
0.686,0.672,11,1,0.0323,0.7,0.0,0.135,128.55,4,Rhythm and Blues
0.369,0.609,9,0,0.184,0.259,4.1e-05,0.133,80.362,1,Rhythm and Blues
0.727,0.296,8,1,0.0381,0.642,0.00195,0.0815,101.006,4,Rhythm and Blues
0.535,0.406,3,0,0.0654,0.481,0.0,0.144,113.467,4,Rhythm and Blues
0.789,0.435,1,0,0.0599,0.447,0.0,0.135,72.973,3,Rhythm and Blues
0.597,0.313,1,1,0.0397,0.837,3.75e-05,0.105,106.933,3,Rhythm and Blues
0.727,0.665,1,1,0.0352,0.653,0.233,0.349,114.979,4,Rhythm and Blues
0.559,0.551,5,1,0.132,0.141,0.0,0.11,143.008,4,Rhythm and Blues
0.864,0.346,4,1,0.0365,0.277,0.00521,0.0514,105.164,4,Rhythm and Blues
0.743,0.548,6,0,0.0947,0.175,0.00018,0.088,85.017,4,Rhythm and Blues
0.617,0.525,8,0,0.12,0.554,1.1e-06,0.135,135.781,4,Rhythm and Blues
0.758,0.413,2,0,0.0464,0.321,0.0,0.117,85.46,3,Rhythm and Blues
0.678,0.544,4,0,0.0326,0.668,9.62e-06,0.103,122.735,4,Rhythm and Blues
0.499,0.246,9,1,0.0325,0.7,0.00227,0.0965,148.468,3,Rhythm and Blues
0.604,0.313,5,1,0.0375,0.801,0.0,0.342,129.182,4,Rhythm and Blues
0.551,0.748,0,0,0.0562,0.0534,1.31e-05,0.363,77.809,4,Rhythm and Blues
0.739,0.371,4,0,0.0511,0.358,4.27e-05,0.139,122.033,4,Rhythm and Blues
0.599,0.463,7,1,0.0472,0.162,6.64e-05,0.141,158.053,3,Rhythm and Blues
0.707,0.261,9,0,0.0784,0.853,0.0,0.127,65.038,4,Rhythm and Blues
0.676,0.334,5,1,0.0508,0.862,0.0,0.32,158.0,4,Rhythm and Blues
0.721,0.567,10,1,0.0389,0.221,0.0,0.465,116.643,4,Rhythm and Blues
0.792,0.547,9,1,0.0353,0.0858,1.21e-05,0.0584,96.986,4,Rhythm and Blues
0.5,0.638,6,0,0.0756,0.66,0.0,0.366,81.145,4,Rhythm and Blues
0.607,0.556,7,0,0.0384,0.628,1.49e-05,0.259,104.317,4,Rhythm and Blues
0.746,0.56,5,1,0.0565,0.494,0.0,0.316,124.68,4,Rhythm and Blues
0.662,0.507,5,1,0.118,0.257,0.0,0.0465,86.412,4,Rhythm and Blues
0.497,0.477,2,0,0.116,0.373,0.0,0.114,121.524,4,Rhythm and Blues
0.707,0.618,1,0,0.19,0.17,0.0,0.293,133.876,4,Rhythm and Blues
