danceability,energy,speechiness,acousticness,instrumentalness,liveness,genre
0.413,0.876,0.057,0.000938,0.000104,0.387,Rock
0.274,0.956,0.0814,1.37e-05,1.33e-06,0.117,Rock
0.562,0.823,0.0511,0.0014,6.15e-05,0.104,Rock
0.6,0.863,0.131,0.0203,0.000719,0.0864,Rock
0.396,0.939,0.227,0.000285,0.0,0.212,Rock
0.62,0.782,0.058,0.0409,2.01e-06,0.259,Rock
0.563,0.908,0.034,0.0363,3.14e-05,0.571,Rock
0.457,0.834,0.0817,0.00252,0.00125,0.1,Rock
0.537,0.82,0.0345,0.000429,0.0,0.716,Rock
0.736,0.534,0.0367,0.0433,0.00434,0.0664,Rock
0.622,0.715,0.0323,0.000982,0.0,0.0796,Rock
0.646,0.798,0.0767,0.000305,9.84e-05,0.0922,Rock
0.477,0.448,0.0495,0.00244,0.000507,0.715,Rock
0.354,0.994,0.182,0.0228,3.28e-05,0.318,Rock
0.354,0.931,0.0769,0.0586,0.0,0.298,Rock
0.637,0.673,0.0541,0.0479,1e-05,0.0948,Rock
0.596,0.798,0.0285,0.00412,0.0,0.338,Rock
0.547,0.684,0.0303,0.0192,0.0,0.111,Rock
0.542,0.843,0.0607,0.0108,0.0,0.0956,Rock
0.709,0.848,0.0778,0.0145,0.00305,0.0574,Rock
0.24,0.876,0.0748,0.0203,0.00039,0.179,Rock
0.586,0.81,0.0484,0.00275,2.95e-05,0.145,Rock
0.649,0.908,0.037,0.0339,3.04e-05,0.137,Rock
0.631,0.884,0.1,0.0632,0.0,0.325,Rock
0.421,0.963,0.0502,0.000121,0.0,0.121,Rock
0.353,0.677,0.041,0.000908,2.91e-06,0.276,Rock
0.395,0.701,0.0377,0.00148,0.0049,0.05,Rock
0.22,0.656,0.0339,0.121,0.00652,0.12,Rock
0.539,0.977,0.218,0.000431,0.0,0.356,Rock
0.462,0.979,0.0664,0.000899,8.3e-06,0.33,Rock
0.547,0.571,0.15,0.00263,2.31e-05,0.101,Rock
0.503,0.904,0.154,0.052,0.00103,0.304,Rock
0.642,0.718,0.0436,0.00245,2.74e-05,0.0551,Rock
0.528,0.959,0.103,0.00068,0.00757,0.295,Rock
0.533,0.928,0.0362,0.00312,0.000522,0.254,Rock
0.58,0.939,0.0643,0.000963,1.55e-05,0.384,Rock
0.428,0.953,0.233,1.66e-05,0.778,0.154,Rock
0.532,0.833,0.0421,0.0205,0.0,0.0996,Rock
0.593,0.714,0.0299,0.348,0.0,0.151,Rock
0.303,0.583,0.0344,0.000232,1.61e-06,0.117,Rock
0.416,0.867,0.116,0.139,2.47e-06,0.0838,Rock
0.503,0.902,0.0451,0.0382,6.27e-06,0.0692,Rock
0.376,0.83,0.0826,0.0445,0.00783,0.0679,Rock
0.44,0.913,0.0528,0.00212,0.0,0.207,Rock
0.508,0.797,0.0411,0.00261,7.56e-06,0.0916,Rock
0.539,0.922,0.0434,9.94e-05,0.0,0.669,Rock
0.256,0.651,0.0378,0.00038,7.36e-06,0.11,Rock
0.644,0.834,0.0358,0.00161,0.0412,0.0875,Rock
0.402,0.985,0.244,2.56e-05,0.00157,0.478,Rock
0.454,0.952,0.252,0.00172,0.0,0.513,Rock
