danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,genre
0.714,0.917,7,1,0.0869,0.0509,0.823,0.0725,160.057,4,Techno
0.606,0.884,8,1,0.0412,0.00541,0.848,0.102,125.045,4,Techno
0.744,0.697,10,0,0.0575,0.00189,0.855,0.62,129.994,4,Techno
0.603,0.982,11,1,0.198,0.0115,0.393,0.11,154.948,4,Techno
0.792,0.836,7,1,0.0648,0.006,0.878,0.108,130.003,4,Techno
0.723,0.769,11,0,0.0634,0.226,0.892,0.0764,133.984,5,Techno
0.725,0.908,7,1,0.0345,0.0373,0.824,0.108,128.006,4,Techno
0.77,0.966,6,1,0.0422,0.000438,0.932,0.098,126.01,4,Techno
0.609,0.912,11,0,0.0391,0.0196,0.478,0.133,135.027,4,Techno
0.89,0.727,11,1,0.3,0.0637,0.815,0.196,150.034,4,Techno
0.491,0.983,0,1,0.0757,0.363,0.95,0.0783,155.013,4,Techno
0.748,0.908,5,0,0.0504,0.0588,0.894,0.0943,130.004,4,Techno
0.788,0.585,9,1,0.0573,0.776,0.817,0.123,74.98,4,Techno
0.714,0.782,7,0,0.0402,0.0756,0.64,0.256,121.969,4,Techno
0.585,0.879,6,0,0.0482,0.000677,0.824,0.0613,127.021,4,Techno
0.67,0.966,1,1,0.0526,0.00257,0.741,0.119,127.985,4,Techno
0.678,0.755,11,1,0.0552,0.0011,0.391,0.483,135.001,4,Techno
0.536,0.915,3,0,0.298,0.131,0.624,0.0765,154.986,4,Techno
0.767,0.83,7,1,0.206,0.209,0.836,0.0582,75.023,4,Techno
0.754,0.752,4,0,0.0434,7.46e-05,0.862,0.0834,139.998,4,Techno
0.738,0.91,9,0,0.107,0.00118,0.874,0.0939,137.022,4,Techno
0.687,0.953,0,1,0.0488,0.0056,0.825,0.096,144.999,4,Techno
0.631,0.978,2,1,0.0487,0.00372,0.883,0.167,134.951,4,Techno
0.557,0.993,0,1,0.0468,3.02e-05,0.855,0.166,160.034,4,Techno
0.594,0.978,2,1,0.0634,0.0028,0.639,0.112,145.014,4,Techno
0.463,0.995,5,1,0.081,1.79e-05,0.938,0.0707,143.994,4,Techno
0.789,0.976,3,1,0.057,0.0065,0.849,0.0639,131.99,4,Techno
0.527,0.914,7,1,0.0815,0.00166,0.739,0.107,149.98,4,Techno
0.58,0.923,2,1,0.0427,0.000581,0.55,0.346,135.989,4,Techno
0.539,0.741,2,1,0.0629,1.73e-05,0.777,0.265,149.997,4,Techno
0.904,0.878,7,1,0.166,0.021,0.611,0.0671,124.044,4,Techno
0.731,0.902,11,1,0.0511,0.0122,0.899,0.111,136.014,4,Techno
0.716,0.862,11,0,0.0588,0.0017,0.883,0.221,123.983,4,Techno
0.472,0.912,6,1,0.0456,3.57e-05,0.92,0.0948,162.993,4,Techno
0.707,0.839,2,1,0.0408,0.172,0.815,0.0986,123.983,4,Techno
0.693,0.949,7,1,0.0417,0.00284,0.864,0.0804,129.989,4,Techno
0.595,0.96,10,1,0.0675,0.00133,0.926,0.13,144.023,3,Techno
0.785,0.69,3,0,0.0698,0.00291,0.907,0.203,128.879,4,Techno
0.854,0.93,2,1,0.0439,0.563,0.697,0.0815,123.998,4,Techno
0.749,0.731,4,1,0.108,0.00314,0.867,0.111,131.997,4,Techno
0.431,0.916,11,0,0.0602,9.98e-05,0.755,0.396,135.986,4,Techno
0.67,0.969,6,1,0.0586,0.00132,0.855,0.0848,132.002,4,Techno
0.793,0.853,6,1,0.097,0.00457,0.0994,0.157,138.002,4,Techno
0.843,0.628,7,1,0.132,0.233,0.835,0.0923,133.006,4,Techno
0.732,0.627,11,1,0.0524,0.000174,0.895,0.0981,131.007,4,Techno
0.66,0.904,5,0,0.0948,0.0106,0.358,0.0691,155.004,4,Techno
0.658,0.842,6,0,0.0875,0.000389,0.811,0.0998,160.0,4,Techno
0.69,0.739,3,0,0.059,0.0127,0.905,0.0744,125.007,4,Techno
0.596,0.837,7,0,0.0488,0.0775,0.806,0.297,125.93,3,Techno
0.701,0.932,7,1,0.088,0.0976,0.00223,0.267,149.991,4,Techno
