danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,genre
0.649,0.674,4,0,0.163,0.075,0.0,0.587,90.049,4,hip hop
0.607,0.65,0,0,0.332,0.0372,1.26e-06,0.0985,99.587,4,hip hop
0.597,0.562,10,0,0.0509,0.16,0.000528,0.11,97.944,4,hip hop
0.872,0.723,1,1,0.247,0.0293,0.0,0.327,93.279,4,hip hop
0.772,0.821,11,0,0.25,0.223,0.0,0.148,91.921,4,hip hop
0.747,0.52,10,0,0.0357,0.0977,0.0537,0.142,92.869,4,hip hop
0.802,0.785,9,1,0.207,0.14,0.0,0.123,99.998,4,hip hop
0.704,0.873,11,0,0.144,0.121,5.12e-06,0.24,154.914,4,hip hop
0.69,0.729,11,0,0.221,1.7e-05,0.0431,0.152,91.376,4,hip hop
0.789,0.858,1,1,0.311,0.127,0.0,0.349,140.022,4,hip hop
0.816,0.775,11,1,0.234,0.16,0.00031,0.0543,93.431,4,hip hop
0.798,0.744,7,0,0.136,0.33,0.000106,0.292,82.356,4,hip hop
0.773,0.54,6,1,0.103,0.371,0.0,0.131,84.115,4,hip hop
0.802,0.755,4,0,0.0564,0.0215,0.0,0.295,130.027,4,hip hop
0.678,0.794,10,0,0.14,0.274,1.68e-06,0.124,87.374,4,hip hop
0.479,0.549,11,0,0.373,0.57,0.0235,0.127,180.985,4,hip hop
0.831,0.682,7,1,0.238,0.256,0.0,0.494,91.771,4,hip hop
0.69,0.521,10,0,0.339,0.324,0.0,0.0534,100.028,4,hip hop
0.734,0.735,7,1,0.065,0.000813,3.25e-05,0.559,96.806,4,hip hop
0.712,0.772,10,0,0.346,0.0521,4.35e-06,0.0368,84.722,4,hip hop
0.934,0.735,1,1,0.251,0.031,8.6e-06,0.107,101.368,4,hip hop
0.763,0.85,7,1,0.0417,0.0304,1.21e-06,0.371,91.519,4,hip hop
0.835,0.718,1,1,0.232,0.0424,0.0,0.258,94.387,4,hip hop
0.897,0.559,11,1,0.379,0.155,0.000127,0.296,106.991,4,hip hop
0.754,0.631,7,0,0.307,0.552,0.0,0.5,94.577,4,hip hop
0.78,0.575,9,0,0.273,0.43,0.0,0.143,84.492,4,hip hop
0.694,0.759,10,0,0.398,0.137,0.0,0.167,140.055,4,hip hop
0.856,0.722,5,0,0.076,0.133,0.000485,0.168,100.192,4,hip hop
0.762,0.838,8,1,0.0963,0.033,0.0,0.0623,92.482,4,hip hop
0.855,0.87,1,1,0.226,0.303,0.0,0.376,82.009,4,hip hop
0.537,0.948,8,1,0.355,0.151,0.0,0.356,186.151,4,hip hop
0.489,0.692,1,1,0.41,0.0322,0.00608,0.315,96.946,4,hip hop
0.918,0.586,1,1,0.133,0.0783,0.0,0.145,95.517,4,hip hop
0.88,0.814,11,0,0.14,0.168,0.00672,0.0584,138.083,4,hip hop
0.922,0.909,10,0,0.27,0.0281,0.0,0.0856,95.295,4,hip hop
0.889,0.818,9,1,0.253,0.47,0.0,0.179,96.063,4,hip hop
0.779,0.572,6,0,0.378,0.157,0.0,0.246,135.956,4,hip hop
0.795,0.852,0,1,0.178,0.0442,3.47e-06,0.39,95.44,4,hip hop
0.808,0.745,10,0,0.342,0.145,0.0,0.292,165.995,4,hip hop
0.434,0.758,9,0,0.312,0.597,2.93e-06,0.248,178.589,4,hip hop
0.795,0.574,2,0,0.487,0.067,0.0,0.15,142.053,4,hip hop
0.614,0.574,11,1,0.466,0.0253,3.2e-05,0.38,125.173,5,hip hop
0.901,0.697,9,1,0.28,0.145,0.0,0.287,93.941,4,hip hop
0.516,0.874,9,1,0.186,0.0864,0.0,0.173,169.561,3,hip hop
0.849,0.904,8,1,0.138,0.0248,5.11e-05,0.0545,99.258,4,hip hop
0.669,0.821,11,0,0.29,0.00182,0.0,0.147,94.895,4,hip hop
0.587,0.698,1,1,0.0943,0.0152,0.0,0.442,133.954,4,hip hop
0.561,0.774,1,0,0.447,0.399,1.84e-06,0.189,77.621,1,hip hop
0.721,0.662,7,1,0.403,0.0888,0.0,0.178,94.191,4,hip hop
0.834,0.878,8,1,0.15,0.0461,0.0,0.334,102.848,4,hip hop
