danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,genre
0.815,0.834,4,0,0.0475,0.0327,0.000268,0.27,129.989,4,k-pop
0.828,0.731,9,1,0.111,0.0617,0.0,0.048,119.978,4,k-pop
0.774,0.66,2,1,0.0328,0.662,0.0,0.4,120.023,4,k-pop
0.819,0.844,0,1,0.038,0.00767,0.00834,0.056,127.997,4,k-pop
0.593,0.935,4,0,0.225,0.268,0.0,0.286,99.976,4,k-pop
0.706,0.756,4,0,0.0845,0.0392,0.0,0.18,97.098,4,k-pop
0.728,0.801,6,0,0.0439,0.04,0.0,0.0415,123.953,4,k-pop
0.806,0.707,7,1,0.0307,0.331,0.0,0.294,118.009,4,k-pop
0.722,0.833,6,1,0.094,0.0556,0.0,0.195,93.941,4,k-pop
0.704,0.729,7,1,0.0624,0.0024,0.0,0.218,129.992,4,k-pop
0.661,0.836,5,0,0.059,0.00268,0.0,0.497,124.952,4,k-pop
0.754,0.788,2,1,0.0322,0.129,0.00274,0.0775,124.992,4,k-pop
0.774,0.792,9,0,0.224,0.00427,1.15e-06,0.283,98.1,4,k-pop
0.756,0.922,1,1,0.0539,0.0615,0.000462,0.0723,100.005,4,k-pop
0.756,0.927,7,1,0.0594,0.0617,0.0,0.343,123.005,4,k-pop
0.812,0.761,11,1,0.0812,0.0465,0.000135,0.0601,130.032,4,k-pop
0.716,0.779,1,1,0.0805,0.178,1.16e-06,0.167,99.977,4,k-pop
0.665,0.919,2,1,0.0922,0.00191,0.0,0.0588,129.962,4,k-pop
0.6,0.713,6,0,0.0592,0.0642,0.0,0.142,72.999,4,k-pop
0.733,0.855,9,1,0.118,0.00481,0.0,0.123,126.035,4,k-pop
0.621,0.821,6,0,0.0364,0.00548,0.000578,0.142,120.062,4,k-pop
0.785,0.744,3,0,0.0369,0.0149,0.00666,0.0661,126.018,4,k-pop
0.668,0.828,4,0,0.0739,0.036,0.0,0.0932,140.042,4,k-pop
0.532,0.896,8,1,0.184,0.00869,0.0,0.106,150.06,4,k-pop
0.68,0.922,0,1,0.121,0.103,0.0,0.0877,125.014,4,k-pop
0.813,0.667,0,0,0.0616,0.0917,0.0,0.0802,111.02,4,k-pop
0.789,0.88,0,0,0.064,0.0226,0.0,0.386,123.97,4,k-pop
0.664,0.666,8,1,0.0446,0.193,0.0,0.0854,139.987,4,k-pop
0.502,0.863,4,0,0.272,0.0342,0.0,0.538,97.911,4,k-pop
0.629,0.806,1,0,0.201,0.0212,0.000487,0.0955,186.022,4,k-pop
0.818,0.69,0,1,0.0454,0.00327,0.0,0.186,110.071,3,k-pop
0.629,0.963,0,1,0.112,0.00515,0.0,0.262,90.015,4,k-pop
0.712,0.885,7,1,0.0605,0.00391,0.0,0.105,115.009,4,k-pop
0.74,0.908,4,0,0.0327,0.106,0.0,0.0637,105.996,4,k-pop
0.735,0.849,4,0,0.129,0.212,2.94e-05,0.0608,125.972,4,k-pop
0.713,0.603,6,0,0.287,0.000759,5.51e-06,0.0453,78.027,4,k-pop
0.515,0.858,9,1,0.19,0.0435,1.8e-05,0.0796,125.07,4,k-pop
0.709,0.917,9,1,0.189,0.0409,0.0,0.0839,125.042,4,k-pop
0.693,0.734,4,1,0.202,0.0145,0.0,0.217,180.06,4,k-pop
0.74,0.848,2,1,0.097,0.306,0.0,0.193,159.991,4,k-pop
0.633,0.706,10,0,0.0627,0.000588,0.0794,0.245,128.185,4,k-pop
0.584,0.836,0,1,0.079,0.0558,0.0,0.0663,104.973,4,k-pop
0.751,0.719,6,0,0.0373,0.142,0.0,0.148,98.01,4,k-pop
0.607,0.886,4,0,0.0847,0.108,0.0,0.31,149.941,4,k-pop
0.703,0.803,7,1,0.214,0.0464,0.0,0.0954,104.705,4,k-pop
0.583,0.712,2,0,0.0326,0.2,0.0,0.268,94.051,4,k-pop
0.726,0.91,4,0,0.179,0.0413,7.81e-06,0.479,135.966,4,k-pop
0.75,0.718,2,0,0.0468,0.0814,1.75e-05,0.322,90.027,4,k-pop
0.719,0.85,2,1,0.0317,0.012,0.000239,0.114,150.059,4,k-pop
0.634,0.928,1,1,0.0514,0.00719,2.55e-06,0.0626,164.007,4,k-pop
