danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,genre
0.413,0.876,11,1,0.057,0.000938,0.000104,0.387,164.08,4,rock
0.706,0.847,9,1,0.0809,0.0143,0.00326,0.059,120.03,4,rock
0.396,0.939,9,0,0.227,0.000285,0.0,0.212,185.081,4,rock
0.62,0.782,4,0,0.058,0.0409,2.01e-06,0.259,123.117,4,rock
0.274,0.956,4,1,0.0814,1.37e-05,1.33e-06,0.117,150.207,4,rock
0.646,0.798,4,0,0.0767,0.000305,9.84e-05,0.0922,113.959,4,rock
0.457,0.834,5,0,0.0817,0.00252,0.00125,0.1,140.032,4,rock
0.537,0.82,3,1,0.0345,0.000429,0.0,0.716,113.032,4,rock
0.6,0.863,8,0,0.131,0.0203,0.000719,0.0864,159.951,4,rock
0.563,0.908,1,0,0.034,0.0363,3.14e-05,0.571,127.969,4,rock
0.439,0.919,1,0,0.0649,0.00389,0.437,0.12,132.301,4,rock
0.736,0.534,11,0,0.0367,0.0433,0.00434,0.0664,127.035,4,rock
0.622,0.715,6,0,0.0323,0.000982,0.0,0.0796,131.012,4,rock
0.631,0.884,2,1,0.1,0.0632,0.0,0.325,92.507,4,rock
0.637,0.673,11,0,0.0541,0.0479,1e-05,0.0948,124.059,4,rock
0.542,0.843,7,1,0.0607,0.0108,0.0,0.0956,169.036,4,rock
0.354,0.931,10,1,0.0769,0.0586,0.0,0.298,77.135,4,rock
0.562,0.823,1,0,0.0511,0.0014,6.15e-05,0.104,90.996,4,rock
0.547,0.684,9,1,0.0303,0.0192,0.0,0.111,90.034,4,rock
0.593,0.714,7,1,0.0299,0.348,0.0,0.151,111.924,4,rock
0.634,0.804,11,0,0.0377,0.00254,2.39e-05,0.172,106.043,4,rock
0.354,0.994,11,0,0.182,0.0228,3.28e-05,0.318,144.978,4,rock
0.353,0.677,7,1,0.041,0.000908,2.91e-06,0.276,73.762,4,rock
0.596,0.798,0,1,0.0285,0.00412,0.0,0.338,105.01,4,rock
0.24,0.876,1,1,0.0748,0.0203,0.00039,0.179,179.84,4,rock
0.22,0.656,6,1,0.0339,0.121,0.00652,0.12,148.187,4,rock
0.586,0.81,6,0,0.0484,0.00275,2.95e-05,0.145,105.015,4,rock
0.649,0.908,11,0,0.037,0.0339,3.04e-05,0.137,104.011,4,rock
0.421,0.963,9,1,0.0502,0.000121,0.0,0.121,125.239,4,rock
0.395,0.701,10,0,0.0377,0.00148,0.0049,0.05,172.965,4,rock
0.503,0.904,0,0,0.154,0.052,0.00103,0.304,163.007,4,rock
0.462,0.979,1,0,0.0664,0.000899,8.3e-06,0.33,173.957,4,rock
0.547,0.571,5,1,0.15,0.00263,2.31e-05,0.101,164.967,4,rock
0.642,0.718,1,1,0.0436,0.00245,2.74e-05,0.0551,115.01,4,rock
0.533,0.928,0,1,0.0362,0.00312,0.000522,0.254,132.007,4,rock
0.44,0.913,5,1,0.0528,0.00212,0.0,0.207,158.098,4,rock
0.528,0.959,4,1,0.103,0.00068,0.00757,0.295,136.034,4,rock
0.58,0.939,7,0,0.0643,0.000963,1.55e-05,0.384,125.012,4,rock
0.402,0.985,10,0,0.244,2.56e-05,0.00157,0.478,144.055,4,rock
0.428,0.953,2,1,0.233,1.66e-05,0.778,0.154,190.16,4,rock
0.543,0.548,5,1,0.0269,0.146,0.0,0.15,136.103,4,rock
0.256,0.651,11,0,0.0378,0.00038,7.36e-06,0.11,77.89,4,rock
0.303,0.583,2,1,0.0344,0.000232,1.61e-06,0.117,177.98,4,rock
0.416,0.867,9,1,0.116,0.139,2.47e-06,0.0838,168.029,4,rock
0.503,0.902,8,1,0.0451,0.0382,6.27e-06,0.0692,96.034,4,rock
0.508,0.797,1,1,0.0411,0.00261,7.56e-06,0.0916,126.982,4,rock
0.539,0.922,0,1,0.0434,9.94e-05,0.0,0.669,110.963,4,rock
0.376,0.83,9,1,0.0826,0.0445,0.00783,0.0679,168.051,4,rock
0.644,0.834,11,1,0.0358,0.00161,0.0412,0.0875,94.922,4,rock
0.454,0.952,4,0,0.252,0.00172,0.0,0.513,184.938,4,rock
