danceability,energy,speechiness,acousticness,instrumentalness,liveness,genre
0.637,0.705,0.0798,0.0157,0.0,0.105,R&B
0.363,0.982,0.045,0.00248,5e-05,0.338,Pop
0.58,0.848,0.332,0.245,0.0,0.114,R&B
0.468,0.128,0.0311,0.974,0.918,0.12,Jazz
0.536,0.276,0.0358,0.977,0.895,0.119,Jazz
0.812,0.583,0.0458,0.0738,0.0023323,0.39,Rock
0.642,0.493,0.0377,0.97962005,9.36e-06,0.0771,Rythm and Blues
0.479,0.266,0.0332,0.964,0.908,0.346,Jazz
0.448,0.712,0.0325,0.00675,0.771,0.112,Techno
0.762,0.347,0.0397,0.43,0.0,0.181,K-pop
0.635,0.733,0.196,0.0094,0.0003,0.0598,Rap
0.438,0.95,0.382,5.47e-05,0.848,0.106,Techno
0.744,0.434,0.0371,0.362,0.0,0.0691,R&B
0.779,0.745,0.361,0.0251,7e-06,0.203,Hip Hop
0.899,0.441,0.0283,0.131,3.28e-06,0.5251,Rythm and Blues
0.749,0.861,0.0466,0.000318,3.11e-06,0.288,Pop
0.399,0.131,0.0369,0.93,0.889,0.134,Jazz
0.699,0.404,0.0495,0.574,1.36e-06,0.115,Rythm and Blues
0.896,0.587,0.0289,0.000919,0.675,0.116,Techno
0.704,0.407,0.107,0.587,0.0,0.108,R&B
0.379,0.133,0.036,0.978,0.526,0.0778,Jazz
0.413,0.196,0.0411,0.958,0.896,0.101,Jazz
0.806,0.8,0.0283,0.0442,0.0,0.243,Rap
0.782,0.789,0.213,0.00193,0.0,0.447,Rap
0.699,0.767,0.168,0.0589,5.548e-05,0.311,Rap
0.789,0.78,0.31,0.0262,0.832,0.079,Techno
0.743,0.868,0.132,0.000525,0.9,0.253,Rap
0.538,0.275,0.0305,0.968,0.914,0.104,Jazz
0.671,0.333,0.068,0.128,0.0,0.142,Pop
0.865,0.736,0.0417,0.0277,3.96e-06,0.0888,Pop
0.304,0.077,0.0294,0.94,0.94466915,0.106,Jazz
0.514,0.71,0.0951,0.00768,3.85e-05,0.335,Hip Hop
0.776,0.688,0.0954,0.0329,0.002232,0.502,Pop
0.7,0.835,0.0559,0.00284,0.00401,0.0991,Hip Hop
0.391,0.586,0.117,0.0023,0.535,0.309,Techno
0.553,0.912,0.0795,0.352,0.0,0.212,Hip Hop
